source,target,tgt_lng
Hamster,倉鼠,zh-TW
Guinea pig,天竺鼠,zh-TW
Canary,金絲雀,zh-TW
Goldfish,金魚,zh-TW
Betta fish,鬥魚,zh-TW
German Shepherd,德國牧羊犬,zh-TW
Golden Retriever,黃金獵犬,zh-TW
Labrador Retriever,拉布拉多獵犬,zh-TW
Poodle,貴賓犬,zh-TW
Persian cat,波斯貓,zh-TW
Siamese cat,暹羅貓,zh-TW
British Shorthair,英國短毛貓,zh-TW
Maine Coon,緬因貓,zh-TW
Purebred,純種,zh-TW
Mixed breed,混種,zh-TW
Pedigree,血統,zh-TW
Puppy,小狗,zh-TW
Kitten,小貓,zh-TW
Neutered,絕育,zh-TW
Spayed,絕育,zh-TW
Vaccinated,已接種疫苗,zh-TW
Microchipped,已植入晶片,zh-TW
Harness,胸背帶,zh-TW
ID tag,身份牌,zh-TW
Crate,籠子,zh-TW
Kennel,狗舍,zh-TW
Feeder,餵食器,zh-TW
Litter box,貓砂盆,zh-TW
Litter,貓砂,zh-TW
Grooming,美容,zh-TW
Veterinarian,獸醫,zh-TW
Vet clinic,獸醫診所,zh-TW
Check-up,體檢,zh-TW
Vaccination,疫苗接種,zh-TW
Deworming,驅蟲,zh-TW
Flea treatment,跳蚤治療,zh-TW
Tick treatment,壁蝨治療,zh-TW
Antibiotic,抗生素,zh-TW
Obedience,服從,zh-TW
Sit,坐下,zh-TW
Stay,等待,zh-TW
Come,過來,zh-TW
Down,趴下,zh-TW
Heel,隨行,zh-TW
Fetch,接球,zh-TW
Temperament,性情,zh-TW
Socialization,社交,zh-TW
