source,target,tgt_lng
Blockchain,區塊鏈,zh-TW
Cryptocurrency,加密貨幣,zh-TW
Token,代幣,zh-TW
Coin,幣,zh-TW
Altcoin,替代幣,zh-TW
Stablecoin,穩定幣,zh-TW
NFT,非同質化代幣,zh-TW
DeFi,去中心化金融,zh-TW
DAO,去中心化自治組織,zh-TW
Smart contract,智能合約,zh-TW
DApp,去中心化應用,zh-TW
Private key,私鑰,zh-TW
Public key,公鑰,zh-TW
Seed phrase,助記詞,zh-TW
Mnemonic,助記詞,zh-TW
Gas,燃料費,zh-TW
Gas fee,燃料費,zh-TW
Block,區塊,zh-TW
Mining,挖礦,zh-TW
Miner,礦工,zh-TW
Staking,質押,zh-TW
Validator,驗證者,zh-TW
Consensus,共識,zh-TW
Proof of Work,工作量證明,zh-TW
Proof of Stake,權益證明,zh-TW
Hash,雜湊,zh-TW
Hash rate,算力,zh-TW
Difficulty,難度,zh-TW
Node,節點,zh-TW
Full node,全節點,zh-TW
Light node,輕節點,zh-TW
Mempool,記憶體池,zh-TW
Fork,分叉,zh-TW
Hard fork,硬分叉,zh-TW
Soft fork,軟分叉,zh-TW
Genesis block,創世區塊,zh-TW
Block reward,區塊獎勵,zh-TW
Transaction fee,交易費,zh-TW
Slippage,滑點,zh-TW
Liquidity,流動性,zh-TW
APY,年化收益率,zh-TW
APR,年化利率,zh-TW
Bridge,跨鏈橋,zh-TW
Layer 2,二層網路,zh-TW
Rollup,匯總,zh-TW
Sidechain,側鏈,zh-TW
Testnet,測試網,zh-TW
Mainnet,主網,zh-TW
Airdrop,空投,zh-TW
Whitelist,白名單,zh-TW
Presale,預售,zh-TW
ICO,首次代幣發行,zh-TW
IDO,首次去中心化發行,zh-TW
IEO,首次交易所發行,zh-TW
KYC,了解你的客戶,zh-TW
AML,反洗錢,zh-TW
FOMO,錯失恐懼症,zh-TW
HODL,持有,zh-TW
DYOR,做好自己的研究,zh-TW
