﻿source,target,tgt_lng
愛して愛して愛して,爱我吧爱我吧爱我吧,zh-CN
ノーマリティ・ダンシンガール,异常·舞动的女孩,zh-CN
4nim0sity,敌意指数,zh-CN
神っぽいな,像神一样呐,zh-CN
転生林檎,转生林檎,zh-CN
不幸人間強制収容所,不幸人间强制收容所,zh-CN
ラヴィット,Loveit,zh-CN
神のまにまに,神的随波逐流,zh-CN
強風オールバック,强风大背头,zh-CN
アンノウン・マザーグース,不为人知的鹅妈妈童谣,zh-CN
メズマライザー,催眠术,zh-CN
Aじゃないか,这不是A吗,zh-CN
㋰責任集合体,无责任集合体,zh-CN
タリング,视奸,zh-CN
嘘ミーム,谎言迷因,zh-CN
マッチ売りの転売ヤー,卖火柴的倒爷,zh-CN
ノンブレス・オブリージュ,无呼吸义务,zh-CN
フォニイ,伪物,zh-CN
マーシャル・マキシマイザー,马歇尔最大化器,zh-CN
きゅびびびびずむ,立体体体体主义,zh-CN
イガク,医学,zh-CN
人マニア,人狂热症,zh-CN
ロストワンの号哭,LastOne的号哭,zh-CN
下方为人名解释,下方为人名解释,zh-CN
テト,teto,zh-CN
重音テト,重音teto,zh-CN
ミク,Miku,zh-CN
初音ミク,初音未来,zh-CN
鏡音レン镜音连,zh-CN
鏡音リン,镜音铃,zh-CN
かふ,可不,zh-CN
歌愛ユキ,歌爱雪,zh-CN
巡音ルカ,巡音流歌,zh-CN
下方为P主解释,下方为P主解释,zh-CN
ピノキオピー,匹诺曹P,zh-CN
下方为名词解释,下方为名词解释,zh-CN
プロジェクトセカイ,世界计划,zh-CN
人造のストーン,人造石,zh-CN
