source,target,tgt_lng
Constitution,宪法,zh-CN
Regulation,法规,zh-CN
Statute,法令,zh-CN
Ordinance,条例,zh-CN
Code,法典,zh-CN
Amendment,修正案,zh-CN
Clause,条款,zh-CN
Subsection,小节,zh-CN
Proviso,但书,zh-CN
Schedule,附表,zh-CN
Jurisdiction,管辖权,zh-CN
Supreme Court,最高法院,zh-CN
High Court,高等法院,zh-CN
District Court,地区法院,zh-CN
Magistrate Court,治安法院,zh-CN
Appeal Court,上诉法院,zh-CN
Circuit Court,巡回法院,zh-CN
Tribunal,法庭,zh-CN
Justice,大法官,zh-CN
Magistrate,治安法官,zh-CN
Prosecutor,检察官,zh-CN
Attorney,律师,zh-CN
Counsel,法律顾问,zh-CN
Solicitor,事务律师,zh-CN
Barrister,出庭律师,zh-CN
Plaintiff,原告,zh-CN
Defendant,被告,zh-CN
Appellant,上诉人,zh-CN
Respondent,被上诉人,zh-CN
Expert witness,证人,zh-CN
Jury,陪审团,zh-CN
Juror,陪审员,zh-CN
Bailiff,法警,zh-CN
Clerk,书记员,zh-CN
Court reporter,法庭记录员,zh-CN
Civil case,民事案件,zh-CN
Criminal case,刑事案件,zh-CN
Administrative case,行政案件,zh-CN
Appeal,上诉,zh-CN
Hearing,听证,zh-CN
Trial,审判,zh-CN
Verdict,判决,zh-CN
Judgment,判决,zh-CN
Order,命令,zh-CN
Decree,法令,zh-CN
Ruling,裁定,zh-CN
Dissenting opinion,异议意见,zh-CN
Concurring opinion,附议意见,zh-CN
Majority opinion,多数意见,zh-CN
Minority opinion,少数意见,zh-CN
Precedent,先例,zh-CN
Binding precedent,有约束力的先例,zh-CN
Persuasive precedent,有说服力的先例,zh-CN
Stare decisis,遵循先例,zh-CN
Common law,普通法,zh-CN
Statute law,成文法,zh-CN
Equity,衡平法,zh-CN
Customary law,习惯法,zh-CN
International law,国际法,zh-CN
Domestic law,国内法,zh-CN
Public law,公法,zh-CN
Private law,私法,zh-CN
Criminal law,刑法,zh-CN
Civil law,民法,zh-CN
Administrative law,行政法,zh-CN
Constitutional law,宪法,zh-CN
Contract law,合同法,zh-CN
Property law,财产法,zh-CN
Family law,家庭法,zh-CN
Labor law,劳动法,zh-CN
Commercial law,商法,zh-CN
Bankruptcy law,破产法,zh-CN
Tax law,税法,zh-CN
Environmental law,环境法,zh-CN
Intellectual property law,知识产权法,zh-CN
Deed,契据,zh-CN
Will,遗嘱,zh-CN
Trust,信托,zh-CN
Lease,租约,zh-CN
License,许可证,zh-CN
Patent,专利,zh-CN
Copyright,版权,zh-CN
Trademark,商标,zh-CN
Infringement,侵权,zh-CN
Breach,违约,zh-CN
Liability,责任,zh-CN
Negligence,过失,zh-CN
Fraud,欺诈,zh-CN
Theft,盗窃,zh-CN
Assault,攻击,zh-CN
Battery,殴打,zh-CN
Murder,谋杀,zh-CN
Manslaughter,过失杀人,zh-CN
Robbery,抢劫,zh-CN
Burglary,入室盗窃,zh-CN
Arson,纵火,zh-CN
Forgery,伪造,zh-CN
Perjury,伪证,zh-CN
Contempt of court,藐视法庭,zh-CN
